# ----------------------------------------
# All Web Site Data
# Top Events
# 20180822-20180825
# ----------------------------------------

Event Label,Device Category,Total Events,Unique Events,Event Value,Avg. Value
Apple A11 GPU,mobile,"2,171",973,0,0.00
Apple A10 GPU,mobile,"1,728",791,0,0.00
Apple A9 GPU,mobile,996,486,0,0.00
Apple A8 GPU,mobile,455,205,0,0.00
Intel(R) HD Graphics 6000,desktop,322,157,0,0.00
Intel(R) Iris(TM) Graphics 6100,desktop,290,113,0,0.00
Intel(R) Iris(TM) Plus Graphics 640,desktop,304,87,0,0.00
Intel Iris Pro OpenGL Engine,desktop,185,81,0,0.00
Google SwiftShader,desktop,127,62,0,0.00
Mali-G71,mobile,160,61,0,0.00
ANGLE (Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0),desktop,129,57,0,0.00
ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),desktop,127,56,0,0.00
Apple A7 GPU,mobile,139,56,0,0.00
Intel Iris OpenGL Engine,desktop,136,55,0,0.00
Adreno (TM) 540,mobile,127,52,0,0.00
Mali-T880,mobile,147,52,0,0.00
ANGLE (Intel(R) HD Graphics 520 Direct3D11 vs_5_0 ps_5_0),desktop,113,50,0,0.00
Adreno (TM) 530,mobile,116,47,0,0.00
Intel HD Graphics 5000 OpenGL Engine,desktop,102,42,0,0.00
Mali-T830,mobile,113,42,0,0.00
ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),desktop,84,41,0,0.00
ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),desktop,102,40,0,0.00
Intel HD Graphics 4000 OpenGL Engine,desktop,84,38,0,0.00
ANGLE (Intel(R) HD Graphics 620 Direct3D11 vs_5_0 ps_5_0),desktop,100,35,0,0.00
Mali-T720,mobile,120,35,0,0.00
Intel(R) Iris(TM) Graphics 650,desktop,80,34,0,0.00
Adreno (TM) 505,mobile,66,31,0,0.00
ANGLE (Intel(R) HD Graphics Family Direct3D11 vs_5_0 ps_5_0),desktop,74,29,0,0.00
ANGLE (Intel(R) HD Graphics 4000 Direct3D11 vs_5_0 ps_5_0),desktop,87,26,0,0.00
Mali-T760,mobile,77,26,0,0.00
Adreno (TM) 506,mobile,71,23,0,0.00
